date,month,month_number,year,electricity,gas,water,passengers
2013-01-01,Jan,1,2013,26906509.0,412598.0,31.036764,3209356.0
2013-02-01,Feb,2,2013,24448177.0,368066.0,28.834652,2968951.0
2013-03-01,Mar,3,2013,27664066.0,363378.0,28.837644,3599968.0
2013-04-01,Apr,4,2013,27025544.0,313840.47024,32.303128,3609543.0
2013-05-01,May,5,2013,28171625.0,308500.10524,32.114632,3934899.0
2013-06-01,Jun,6,2013,27632082.0,268764.98314,34.530672,4155153.0
2013-07-01,Jul,7,2013,28723693.0,279591.87,31.710712,4181115.0
2013-08-01,Aug,8,2013,29183370.0,269947.65814,37.429172,4351101.0
2013-09-01,Sep,9,2013,28157945.0,242524.84851,37.876476,3785479.0
2013-10-01,Oct,10,2013,28372075.0,309631.0,32.226084,3926441.0
2013-11-01,Nov,11,2013,26933629.0,352501.77334,31.249944,3470482.0
2013-12-01,Dec,12,2013,27066049.0,398037.39066,32.782596,3814276.0
2014-01-01,Jan,1,2014,27673732.0,342828.64753,35.468664,3438136.0
2014-02-01,Feb,2,2014,24756445.0,317658.43239,30.204988,3081846.0
2014-03-01,Mar,3,2014,27666542.0,305200.0,32.701812,3771574.0
2014-04-01,Apr,4,2014,26605333.0,289646.0,33.980892,3887382.0
2014-05-01,May,5,2014,27824465.0,271337.64445,39.59912,4151403.0
2014-06-01,Jun,6,2014,27033308.0,250562.69455,41.257436,4327219.0
2014-07-01,Jul,7,2014,28576218.0,232262.72481,41.180392,4506218.0
2014-08-01,Aug,8,2014,28763235.0,230297.99822,35.213596,4525926.0
2014-09-01,Sep,9,2014,28123771.0,217255.10929,35.379652,3919485.0
2014-10-01,Oct,10,2014,29002561.0,237775.61908,37.303508,4059884.0
2014-11-01,Nov,11,2014,26882098.0,277677.0,29.974604,3629099.0
2014-12-01,Dec,12,2014,27369288.0,323420.29004,28.67458,3856908.0
2015-01-01,Jan,1,2015,26677871.0,333750.20091,29.116648,3551072.0
2015-02-01,Feb,2,2015,24515679.0,285055.93631,26.489672,3248534.0
2015-03-01,Mar,3,2015,27263622.0,294247.0,30.584972,4002732.0
2015-04-01,Apr,4,2015,26156990.0,326928.0,29.201172,4022770.0
2015-05-01,May,5,2015,27295273.0,330683.05852,28.379868,4361622.0
2015-06-01,Jun,6,2015,27275454.0,310904.07106,32.273208,4559640.0
2015-07-01,Jul,7,2015,29354198.0,241262.16157,33.860464,4802431.0
2015-08-01,Aug,8,2015,29505047.0,217231.43426,32.624768,4797484.0
2015-09-01,Sep,9,2015,28402930.0,225614.0606,33.802868,4201882.0
2015-10-01,Oct,10,2015,29414733.0,257835.9343,35.658656,4375077.0
2015-11-01,Nov,11,2015,26235359.0,312919.59867,26.199448,4014388.0
2015-12-01,Dec,12,2015,26891415.0,369775.08219,27.74706,4129462.0
2016-01-01,Jan,1,2016,27209094.0,373212.66469,23.590424,3749417.0
2016-02-01,Feb,2,2016,25994404.0,315340.06627,27.079096,3543751.0
2016-03-01,Mar,3,2016,27633975.0,343008.14924,26.884616,4138030.0
2016-04-01,Apr,4,2016,26832548.4,308292.16516,30.354588,4172707.0
2016-05-01,May,5,2016,27631408.9,300311.08256,30.86996,4574399.0
2016-06-01,Jun,6,2016,27110580.3,264404.01393,33.655512,4922320.0
2016-07-01,Jul,7,2016,27865644.0,279935.60734,32.223092,5169044.0
2016-08-01,Aug,8,2016,28301314.0,288589.94257,35.091672,5112250.0
2016-09-01,Sep,9,2016,27481793.0,274543.62801,31.51324,4544856.0
2016-10-01,Oct,10,2016,28091286.0,275851.22617,30.852008,4572106.0
2016-11-01,Nov,11,2016,26769555.1,303083.0,29.801068,4267820.0
2016-12-01,Dec,12,2016,26538439.7,390572.34083,27.652812,4339805.0
2017-01-01,Jan,1,2017,25993216.5,401512.01503,28.991732,3893455.0
2017-02-01,Feb,2,2017,23577983.3,322419.26593,28.49506,3481480.0
2017-03-01,Mar,3,2017,26233041.4,323180.16105,32.683112,4335634.0
2017-04-01,Apr,4,2017,25427510.0,285655.9479,28.524232,4426358.0
2017-05-01,May,5,2017,26521469.1,312826.63588,34.790228,4699822.0
2017-06-01,Jun,6,2017,26055428.5,276708.41306,36.278748,5134738.0
2017-07-01,Jul,7,2017,27001306.8,270913.73538,40.739072,5497819.0
2017-08-01,Aug,8,2017,27915693.1,245702.63932,40.092052,5518744.0
2017-09-01,Sep,9,2017,27764684.5,204494.35906,37.685736,4736759.0
2017-10-01,Oct,10,2017,27466836.6,259141.33184,36.667708,4869130.0
2017-11-01,Nov,11,2017,25656358.6,383820.98467,35.521772,4573457.0
2017-12-01,Dec,12,2017,26028127.0,340593.85343,28.821188,4660693.0
2018-01-01,Jan,1,2018,26034857.7,331661.41115,32.839444,4191545.0
2018-02-01,Feb,2,2018,23609237.7,323331.15181,26.530812,3882065.0
2018-03-01,Mar,3,2018,26017519.3,345454.99631,31.09436,4674961.0
2018-04-01,Apr,4,2018,25377231.5,315522.04699,32.427296,4714530.0
2018-05-01,May,5,2018,26134168.3,310710.84278,34.56882,5027789.0
2018-06-01,Jun,6,2018,25689071.1,272163.84921,36.54728,5432268.0
2018-07-01,Jul,7,2018,26849791.6,253759.88084,39.219884,5700075.0
2018-08-01,Aug,8,2018,26891633.8,266312.23899,37.497988,5552579.0
2018-09-01,Sep,9,2018,25948903.9,268371.23957,34.590512,4655093.0
2018-10-01,Oct,10,2018,26962023.6,278906.00516,39.970128,4867897.0
2018-11-01,Nov,11,2018,25761638.1,299791.67285,32.094436,4517529.0
2018-12-01,Dec,12,2018,25943363.5,355809.26734,32.855152,4580901.0
2019-01-01,Jan,1,2019,25953093.7,353610.13328,33.879912,4161927.0
2019-02-01,Feb,2,2019,23281059.7,361791.08813,30.684456,3755973.0
2019-03-01,Mar,3,2019,25884415.9,349826.94789,32.569416,4602873.0
2019-04-01,Apr,4,2019,25294520.9,292595.53839,35.875576,4697790.0
2019-05-01,May,5,2019,26134921.5,312278.6269,35.226312,5013085.0
2019-06-01,Jun,6,2019,26411897.2,236479.42866,38.62298,5471861.0
2019-07-01,Jul,7,2019,27269783.5,238861.50508,42.738476,5620160.0
2019-08-01,Aug,8,2019,28151567.1,12136.438369,42.791584,5750758.0
