lat,lon,label
37.7744791,-122.4139142,*Howard St at Grace St
37.764154553,-122.467373013,10th Ave at Irving St
37.8690604755,-122.293399572,10th St at University Ave
37.770065188,-122.411922812,11th St at Bryant St
37.7734443333,-122.416122167,11th St at Natoma St
37.8030301358,-122.27049619,13th St at Franklin St
37.780364,-122.4728095,14th Ave at Geary Blvd
37.768275023,-122.420318604,14th St at Mission St
37.767093539,-122.407407284,15th St at Potrero Ave
37.764846087,-122.419866562,16th St Mission BART
37.7648385,-122.420141,16th St Mission BART Station 2
37.764297962,-122.431957722,16th St at Prosper St
37.763718724,-122.415567636,17th & Folsom Street Park (17th St at Folsom St)
37.780789852,-122.476178885,17th Ave at Geary Blvd
37.7630121667,-122.4265975,17th St at Dolores St
37.763333,-122.4220555,17th St at Valencia St
37.7852211,-122.477691174,18th Ave at California St
37.761002421,-122.43254292,18th St at Noe St
37.76046,-122.410694167,19th St at Florida St
37.7602806667,-122.4190335,19th St at Mission St
37.3384680141,-121.866520643,19th St at William St
37.8093686121,-122.267950773,19th Street BART Station
37.78729,-122.39438,1st St at Folsom St
37.33097899,-121.886700988,1st St at San Carlos St
37.3550295823,-121.90443635,1st St at Younger Ave
37.759194732,-122.410111666,20th St at Bryant St
37.7582593333,-122.426022667,20th St at Dolores St
37.8395430827,-122.298717722,2100 Powell St
37.754408836,-122.478607416,21st Ave at Noriega St
37.8004594117,-122.247458696,21st St at 5th Ave
37.757728,-122.3919,22nd St Caltrain Station
37.756818533,-122.405930042,22nd St at Potrero Ave
37.781893611,-122.482657194,23rd Ave at Clement St
37.754520416,-122.404125571,23rd St at San Bruno Ave
37.3464836667,-121.868655167,23rd St at Santa Clara St
37.8125810858,-122.268573046,23rd St at Telegraph Ave
37.755411506,-122.388593912,23rd St at Tennessee St
37.752020955,-122.419006944,24th St BART Station
37.751774669,-122.426664948,24th St at Chattanooga St
37.763607264,-122.483669639,25th Ave at Irving St
37.7818893333,-122.485926833,26th Ave at Clement St
37.754068613,-122.483986139,26th Ave at Noriega St
37.8170154,-122.2717615,27th St at MLK Jr Way
37.743635297,-122.42699182,29th St at Church St
37.744101524,-122.421634078,29th St at Tiffany Ave
37.800213567,-122.253810167,2nd Ave at E 18th St
37.78494072,-122.396279693,2nd St at Folsom St
37.3411320355,-121.892843843,2nd St at Julian St
37.780526,-122.390288,2nd St at Townsend St
37.742411971,-122.422922254,30th St at San Jose Ave
37.8238474,-122.2811926,32nd St at Adeline St
37.775681,-122.494064,34th Ave at Balboa St
37.8224676771,-122.265971303,34th St at Telegraph Ave
37.771488,-122.4957585,36th Ave at Spreckels Lake Dr
37.751652956,-122.495718002,37th Ave at Ortega St
37.8266955864,-122.271797061,37th St at West St
37.775477052,-122.498404145,38th Ave at Balboa St
37.320976138,-121.876296401,3rd St at Keyes St
37.7787238333,-122.392301167,3rd St at Townsend St
37.7627191667,-122.5007885,41st Ave at Irving St
37.7569996434,-122.502550976,43rd Ave at Lawton St
37.7527982,-122.504278898,45th Ave at Noriega St
37.8335577,-122.2674183,45th St at MLK Jr Way
37.8332935222,-122.256224155,45th St at Manila
37.8356703,-122.2811258,47th St at San Pablo Ave
37.7728435,-122.509034667,48th Ave at Cabrillo St
37.7670885,-122.3909835,4th St at 16th St
37.768872,-122.3911087,4th St at Gene Friend Way
37.781071663,-122.399845362,4th St at Harrison St
37.773630023,-122.391630054,4th St at Long Bridge St
37.770422101,-122.391306639,4th St at Mission Bay Blvd S
37.332816482,-121.883958101,4th St at San Carlos St
37.8401858,-122.2618225,55th St at Telegraph Ave
37.8409452,-122.2913604,59th St at Horton St
37.7794876092,-122.463141829,5th Ave at Anza St
37.7812023333,-122.404839833,5th St at Howard St
37.331936836,-121.881530881,5th St at San Salvador St
37.32595396,-121.877203107,5th St at Virginia St
37.8494355,-122.2525406,62nd St at Claremont Ave
37.775222301,-122.464996576,7th Ave at Cabrillo St
37.782223225,-122.465612292,7th Ave at Clement St
37.7636513333,-122.4641245,7th Ave at Irving St
37.7587,-122.463774,7th Ave at Lawton St
37.771296382,-122.400984168,7th St at King St
37.7728553333,-122.465876,8th Ave at John F Kennedy Dr
37.771455884,-122.405679703,8th St at Brannan St
37.767253637,-122.400243044,8th St at Hooper St
37.7745204011,-122.409449369,8th St at Ringold St
37.781773329,-122.467669368,9th Ave at Geary Blvd
37.338417292,-121.880920529,9th St at San Fernando St
37.8312769,-122.2782669,Adeline St at 40th St
37.7685449,-122.404237387,Alameda St at Henry Adams St
37.7775467702,-122.43327409,Alamo Square (Steiner St at Fulton St)
37.797232032,-122.427518368,Allyne Park (Green St at Gough St)
37.331500888,-121.8933599,Almaden Blvd at San Fernando St
37.7785026667,-122.478034833,Anza St at 19th Ave
37.780664206,-122.450386524,Anza St at Collins St
37.7784869864,-122.458645105,Arguello Blvd at Edward St
37.781548142,-122.458749413,Arguello Blvd at Geary Blvd
37.734966,-122.429772,Arlington St at Roanoke St
37.8524766,-122.2702132,Ashby BART Station
37.341237307,-121.903356671,Autumn Parkway at Coleman Ave
37.3212126667,-121.903330333,Auzerais Ave at Los Gatos Creek Trail
37.352896571,-121.885953903,Backesto Park (Jackson St at 13th St)
37.7205296667,-122.447681333,Balboa Park BART 2
37.8689109,-122.2587857,Bancroft Way at Telegraph Ave
37.8020666667,-122.401766,Battery St at Filbert St
37.8122502187,-122.260718573,Bay Pl at Vernon St
37.802676797,-122.436067343,Bay St at Fillmore St
37.7880363333,-122.391892833,Beale St at Harrison St
37.775982976,-122.392929673,Berry St at 4th St
37.7718363333,-122.398379167,Berry St at King St
37.3235336667,-121.874268,Bestor Art Park
37.7779336701,-122.396973073,Brannan St at 4th St
37.772641182,-122.404081702,Brannan St at 7th St
37.7822586,-122.3914651,Brannan St at Colin P Kelly Jr St
37.7743223333,-122.401676,Brannan St at Harriet St
37.7201726667,-122.425206833,Brazil Ave at La Grande Ave
37.723383,-122.455177333,Brighton Ave at Ocean Ave
37.8193814,-122.2619284,Broadway at 30th St
37.8277573,-122.2567156,Broadway at 40th St
37.7986651667,-122.400960333,Broadway at Battery St
37.8357883,-122.2516207,Broadway at Coronado Ave
37.79796195,-122.405866861,Broadway at Kearny St
37.773234367,-122.439104438,Broderick St at Oak St
37.783176,-122.393378,Bryant St at 2nd St
37.775847912,-122.402629256,Bryant St at 6th St
37.800606012,-122.432819247,Buchanan St at Lombard St
37.804388881,-122.433506131,Buchanan St at North Point St
37.8465156,-122.2653043,Bushrod Park
37.329097271,-121.904837608,Cahill Park
37.765959,-122.449135833,Carl St at Cole St
37.74783957,-122.425186992,Cesar Chavez St at Dolores St
37.8658466,-122.2674431,Channing Way at Shattuck Ave
37.802338123,-122.424337149,Chestnut St at Van Ness Ave
37.772053719,-122.390077472,China Basin St at 3rd St
37.769818,-122.4291485,Church St at Duboce Ave
37.7811241667,-122.411705667,Civic Center/UN Plaza BART Station (Market St at McAllister St)
37.79502213,-122.399870038,Clay St at Battery St
37.789353967,-122.445152283,Clay St at Lyon St
37.781750441,-122.49285686,Clement St at 32nd Ave
37.8513755,-122.2525233,College Ave at Alcatraz Ave
37.7939311667,-122.403013333,Commercial St at Montgomery St
37.804624677,-122.401949167,Cruise Terminal at Pier 27
37.785971284,-122.408820271,Cyril Magnin St at Ellis St
37.797276,-122.3984265,Davis St at Jackson St
37.8123315,-122.2851712,DeFremery Park
37.78395462,-122.390155435,Delancey St at Brannan St
37.8617595525,-122.253677266,Derby St at College Ave
37.338570714,-121.895817041,Devine St at San Pedro St
37.789578319,-122.440774918,Divisadero St at Clay St
37.7992188333,-122.442768333,Divisadero St at Lombard St
37.769263,-122.407054,Division St at Potrero Ave
37.7661,-122.4266585,Dolores St at 15th St
37.754901409,-122.425672412,Dolores St at 22nd St
37.870139,-122.268422,Downtown Berkeley BART
37.7692121667,-122.434009333,Duboce Park
37.324439645,-121.880655527,E Virginia St at S 2nd St
37.808715,-122.2492512,El Embarcadero at Grand Ave
37.782027721,-122.435568929,Ellis St at Pierce St
37.8576077474,-122.261604667,Ellsworth St at Russell St
37.7923763333,-122.397527333,Embarcadero BART Station (Beale St at Market St)
37.7616291667,-122.390735167,Esprit Park (19th St at Minnesota St)
37.8753207,-122.2601554,Euclid Ave at Hearst Ave
37.759251833,-122.436794758,Eureka Valley Recreation Center
37.784076452,-122.411776423,Father Alfred E Boeddeker Park
37.772611856,-122.448801756,Fell St at Clayton St
37.7719401667,-122.453623,Fell St at Stanyan St
37.8704071155,-122.299675941,Fifth St at Delaware St
37.805297613,-122.43726182,Fillmore St at Jefferson St
37.77033329,-122.415460467,Folsom St at 13th St
37.7671843333,-122.415414333,Folsom St at 15th St
37.760599017,-122.414824963,Folsom St at 19th St
37.7840071667,-122.398555,Folsom St at 3rd St
37.7808405,-122.402591,Folsom St at 5th St
37.7765055,-122.408112333,Folsom St at 7th St
37.773472428,-122.411917329,Folsom St at 9th St
37.789026499,-122.392220259,Folsom St at Main St
37.722114325,-122.482924938,Font Blvd at Arballo Dr
37.3361086667,-121.889498333,Fountain Alley at S 2nd St
37.8044537768,-122.415793774,Francisco St at Columbus Ave
37.8045623549,-122.271738052,Frank H Ogawa Plaza
37.7645435,-122.410349,Franklin Square
37.8005161,-122.2720799,Franklin St at 9th St
37.765817642,-122.457469106,Frederick St at Arguello Blvd
37.792998791,-122.398564935,Front St at California St
37.8677892,-122.2658964,Fulton St at Bancroft Way
37.78247571,-122.471920729,Funston Ave at Clement St
37.7734396667,-122.471308333,Funston Ave at Fulton St
37.7640575,-122.470683667,Funston Ave at Irving St
37.750982881,-122.41210568,Garfield Square (25th St at Harrison St)
37.731686354,-122.45117414,Gennessee St at Monterey Blvd
37.8396488,-122.2717561,Genoa St at 55th St
37.362151861,-121.908783674,Gish Rd at 1st St
37.732861161,-122.434093237,Glen Park BART Station
37.727342963,-122.406719565,Goettingen St at Bacon St
37.780859947,-122.421967268,Golden Gate Ave at Franklin St
37.781351447,-122.418640614,Golden Gate Ave at Polk St
37.808893934,-122.25646019,Grand Ave at Perkins St
37.8113768,-122.2651925,Grand Ave at Webster St
37.789808393,-122.405358195,Grant Ave at Sutter St
37.797625184,-122.423441291,Green St at Van Ness Ave
37.8003166667,-122.425871167,Greenwich St at Franklin St
37.799226,-122.4341075,Greenwich St at Webster St
37.775946,-122.4377775,Grove St at Divisadero
37.7777163333,-122.422900833,Grove St at Gough St
37.774779558,-122.446576357,Grove St at Masonic Ave
37.7457843333,-122.4221655,Guerrero Park
37.770503879,-122.442409277,Haight St at Lyon St
37.849735,-122.270582,Harmon St at Adeline St
37.768840551,-122.413587928,Harrison St at 14th St
37.7636933333,-122.4130165,Harrison St at 17th St
37.759132147,-122.412869215,Harrison St at 20th St
37.8660431,-122.2588044,Haste St at Telegraph Ave
37.740620136,-122.37644875,Heron's Head Park
37.720991373,-122.478679419,Holloway Ave at Arellano Ave
37.8297046,-122.2876102,Horton St at 40th St
37.7648403333,-122.390827167,Hospital St at Mariposa St
37.774626493,-122.414117813,Howard Internal Monolith
37.7864661335,-122.39871608,Howard St at 2nd St
37.780143857,-122.40670681,Howard St at 6th St
37.7765126,-122.4113061,Howard St at 8th St
37.790229321,-122.393865347,Howard St at Beale St
37.766594,-122.398198,Hubbell St at 16th St
37.787093596,-122.416700721,Hyde St at Post St
37.760286689,-122.387466788,Illinois St at 20th St
37.75015533,-122.386465192,Illinois St at Cesar Chavez St
37.7503388333,-122.390608333,Indiana St at Cesar Chavez St
37.763714194,-122.475336194,Irving St at 17th Ave
37.763540745,-122.479604363,Irving St at 21st Ave
37.8149882304,-122.27484405,Isabella St at San Pablo Ave
37.796248,-122.279352,Jack London Square
37.7649558333,-122.399059833,Jackson Playground
37.7940018333,-122.421672833,Jackson St at Polk St
37.796724974,-122.401658188,Jackson St at Sansome St
37.7505058333,-122.433885167,Jersey St at Castro St
37.750889301,-122.42762959,Jersey St at Church St
37.7704626667,-122.510544,John F Kennedy Dr at Great Hwy
37.787118077,-122.413444757,Jones St at Post St
37.728309393,-122.450220585,Judson Ave at Gennessee St
37.3429973,-121.8888891,Julian St at 6th St
37.332295179,-121.912322164,Julian St at The Alameda
37.7734425932,-122.427157508,Koshland Park (Page St at Buchanan St)
37.763874,-122.509526,La Playa St at Lincoln Way
37.791992188,-122.429303646,Lafayette Park (Laguna St at Washington St)
37.777560472,-122.426597714,Laguna St at Grove St
37.7762475,-122.4262025,Laguna St at Hayes St
37.7973195,-122.2653199,Lake Merritt BART Station
37.8013189,-122.2626418,Lakeside Dr at 14th St
37.7905995,-122.419167667,Larkin St at California St
37.7866628333,-122.450033167,Laurel St at California St
37.7964706916,-122.41685763,Leavenworth St at Broadway
37.8017725,-122.456309833,Lincoln Blvd at Graham St
37.80278039,-122.413279533,Lombard St at Columbus Ave
37.773766994,-122.442590475,Lyon St at Fell St
37.7981975,-122.4474145,Lyon St at Lombard St
37.8717192,-122.2730677,MLK Jr Way at University Ave
37.7825846667,-122.4001155,Mabini St at Folsom St
37.796596885,-122.455718756,MacArthur Ave at Fernandez St
37.8285951,-122.2663493,MacArthur BART Station
37.804036784,-122.262409329,Madison St at 17th St
37.776580453,-122.417254925,Market St at 10th St
37.834174,-122.272968,Market St at 45th St
37.76932919,-122.426915884,Market St at Dolores St
37.7738535,-122.421150167,Market St at Franklin St
37.794556856,-122.394903541,Market St at Steuart St
37.8098236,-122.2801923,Marston Campbell Park
37.766589761,-122.464153171,Martin Luther King Dr at 7th Ave
37.8053576667,-122.41357,Mason St at Bay St
37.803997159,-122.455117941,Mason St at Halleck St
37.7790466585,-122.447291315,Masonic Ave at Turk St
37.775328,-122.458104,McAllister St at Arguello Blvd
37.77732408,-122.442162156,McAllister St at Baker St
37.77168,-122.422301,McCoppin St at Valencia St
37.791265488,-122.398932099,Mechanics Monument Plaza (Market St at Bush St)
37.8388,-122.258732,Miles Ave at Cavour St
37.8601245991,-122.269384414,Milvia St at Derby St
37.7823256667,-122.407374833,Mint St at Mission St
37.7724141667,-122.392886167,Mission Bay Kids Park
37.7614203333,-122.4265485,Mission Dolores Park
37.7592103,-122.4213392,Mission Playground
37.7647325,-122.394899833,Mississippi St at 17th St
37.790046453,-122.400977731,Montgomery St BART Station (Market St at 2nd St)
37.7971765,-122.4036272,Montgomery St at Pacific Ave
37.785479,-122.419342,Myrtle St at Polk St
37.333744168,-121.908850074,N Morrison Ave at W Julian St
37.7867806667,-122.399610333,Natoma St at New Montgomery St
37.8588682,-122.2912095,Ninth St at Parker St
37.8738556998,-122.282988324,North Berkeley BART Station
37.805159688,-122.423113465,North Point St at Polk St
37.806928635,-122.411415219,North Point St at Powell St
37.7824406667,-122.439587333,O'Farrell St at Divisadero St
37.781161785,-122.447356701,O'Farrell St at Masonic Ave
37.737206101,-122.394539952,Oakdale Ave at Phelps St
37.7249961667,-122.461062,Ocean Ave West: To Fairfield Way
37.7246881667,-122.459585833,Ocean Avenue East: to Plymouth Ave
37.774275899,-122.42384541,Octavia Blvd at Page St
37.8575672,-122.2675583,Oregon St at Adeline St
37.772219,-122.419976,Otis St at Brady St
37.771131039,-122.445312619,Page St at Masonic Ave
37.772454739,-122.435973883,Page St at Scott St
37.3262823241,-121.904911101,Park Ave at Laurel Grove Ln
37.7761396667,-122.453058833,Parker Ave at McAllister St
37.8624644,-122.2647911,Parker St at Fulton St
37.3338136667,-121.887108167,Paseo De San Antonio at 2nd St
37.796392918,-122.394562364,Pier 1/2 at The Embarcadero
37.3274441667,-121.884669167,Pierce Ave at Market St
37.7717933,-122.4337079,Pierce St at Haight St
37.788409,-122.4202005,Polk St at Bush St
37.7870025,-122.420053,Polk St at Post St
37.771484017,-122.458261728,Pompei Circle at John F Kennedy Dr
37.783973,-122.442878,Post St at Baker St
37.7843898333,-122.4394035,Post St at Divisadero St
37.788745999,-122.403517246,Post St at Kearny St
37.7853719,-122.431778789,Post St at Webster St
37.7633721667,-122.407226,Potrero Ave at Mariposa St
37.751759887,-122.405430317,Potrero del Sol Park (25th St at Utah St)
37.786319613,-122.405139446,Powell St BART Station (Market St at 4th St)
37.783806682,-122.408595324,Powell St BART Station (Market St at 5th St)
37.800361395,-122.410864592,Powell St at Columbus Ave
37.7472996,-122.4114029,Precita Park
37.7398127173,-122.425522506,Randall St at Chenery St
37.356542468,-121.895876527,Raymond Bernal Jr Memorial Park (8th St at Hedding St)
37.783839,-122.434576833,Raymond Kimbell Playground
37.764327049,-122.402487278,Rhode Island St at 17th St
37.844278754,-122.251900434,Rockridge BART Station
37.8584732,-122.2532529,Russell St at College Ave
37.720045447,-122.433733106,Russia Ave at Madrid St
37.342682123,-121.895810366,Ryland Park
37.782342911,-122.393199205,S Park St at 2nd St
37.780890107,-122.394839525,S Park St at 3rd St
37.774910808,-122.418926716,S Van Ness Ave at Market St
37.3392406667,-121.889919333,Saint James Park
37.787445188,-122.398376703,Salesforce Transit Center (Natoma St at 2nd St)
37.335885,-121.88566,San Fernando St at 4th St
37.337125659,-121.883279562,San Fernando St at 7th St
37.7767015,-122.395213333,San Francisco Caltrain (Townsend St at 4th St)
37.776279688,-122.394452572,San Francisco Caltrain Station (King St at 4th St)
37.7788325,-122.4181591,San Francisco City Hall (Polk St at Grove St)
37.795392,-122.394203,San Francisco Ferry Building (Harry Bridges Plaza)
37.778799,-122.4159632,San Francisco Public Library (Grove St at Hyde St)
37.329732,-121.901782,San Jose Diridon Station
37.8557833203,-122.283126712,San Pablo Park
37.333941221,-121.877328396,San Salvador St at 9th St
37.7662185,-122.4310597,Sanchez St at 15th St
37.763267636,-122.430941463,Sanchez St at 17th St
37.339069843,-121.883987069,Santa Clara St at 7th St
37.788041353,-122.438839912,Scott St at California St
37.7791146326,-122.436862125,Scott St at Golden Gate Ave
37.8403643,-122.2644881,Shattuck Ave at 55th St
37.365357161,-121.916465044,Skyport Dr at Technology Dr
37.7896297,-122.390335275,Spear St at Folsom St
37.786777735,-122.453377128,Spruce St at California St
37.782456636,-122.442007542,St. Joseph's Ave at Geary Blvd
37.8384435,-122.2886647,Stanford Ave at Hollis St
37.780935407,-122.45618856,Stanyan St at Geary Blvd
37.788520932,-122.435422063,Steiner St at California St
37.323300481,-121.905883193,Sunol St at San Carlos St
37.803314567,-122.414661169,Taylor St at Columbus Ave
37.787992835,-122.395866394,Tehama St at 1st St
37.8087021,-122.2699271,Telegraph Ave at 19th St
37.816073115,-122.2678864,Telegraph Ave at 27th St
37.83575,-122.262654,Telegraph Ave at 49th St
37.8444927,-122.261351,Telegraph Ave at 58th St
37.8502218745,-122.260172367,Telegraph Ave at Alcatraz Ave
37.8559558,-122.2597949,Telegraph Ave at Ashby Ave
37.7717667,-122.3866885,Terry Francois Blvd at Mission Bay Blvd N
37.7690948873,-122.38633275,Terry Francois Blvd at Warriors Way
37.331941247,-121.905095935,The Alameda at Bush St
37.787397623,-122.388114095,The Embarcadero at Bryant St
37.782993,-122.387965667,The Embarcadero at Pier 38
37.80477,-122.403234,The Embarcadero at Sansome St
37.791411519,-122.391151905,The Embarcadero at Steuart St
37.799909711,-122.398507237,The Embarcadero at Vallejo St
37.799684763,-122.452587962,Torney Ave at Lincoln Blvd
37.7752348686,-122.397437096,Townsend St at 5th St
37.773238,-122.399998,Townsend St at 6th St
37.771058,-122.402717,Townsend St at 7th St
37.77761662,-122.454666376,Turk Blvd at Stanyan St
37.78045006,-122.431946397,Turk St at Fillmore St
37.788377166,-122.408531427,Union Square (Powell St at Post St)
37.8723555,-122.2664467,University Ave at Oxford St
37.765452862,-122.422007561,Valencia St at 16th St
37.75676,-122.421079333,Valencia St at 21st St
37.7552126,-122.4209752,Valencia St at 22nd St
37.752402067,-122.42073071,Valencia St at 24th St
37.7477385,-122.420158,Valencia St at Cesar Chavez St
37.7689995,-122.422320667,Valencia St at Clinton Park
37.777674,-122.4062285,Victoria Manalo Draves Park
37.8802224459,-122.269592285,Vine St at Shattuck Ave
37.8765725491,-122.269527912,Virginia St at Shattuck Ave
37.768445969,-122.451914787,Waller St at Shrader St
37.8007544,-122.2748943,Washington St at 8th St
37.795402,-122.4046885,Washington St at Kearny St
37.7930538333,-122.423361,Washington St at Van Ness Ave
37.806969761,-122.266588211,Webster St at 19th St
37.7951947644,-122.27396965,Webster St at 2nd St
37.7905618333,-122.432534167,Webster St at Clay St
37.777278185,-122.429585099,Webster St at Grove St
37.7834433333,-122.43112,Webster St at O'Farrell St
37.7974865,-122.433983833,Webster St at Union St
37.8051895,-122.294616865,West Oakland BART Station
37.7375495,-122.469762333,West Portal: 15th to Ulloa West
37.8699667076,-122.286533117,West St at University Ave
37.8505777,-122.2781754,Woolsey St at Sacramento St
37.78496325,-122.40098691,Yerba Buena Center for the Arts (Howard St at 3rd St)
